"","SSU_YEAR","NUM.total","occ","SPECIES_CD","X","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","ZONE_NR","SUBREGION_NR","MPA_NR","SPECIES_NR","LEN","NUM","TIME_SEEN","PROT","STRAT","REGION","LAT_LON","REEF_site","REEF_lat","REEF_lon","region.id","HAB_CD2","psu_id","NUM.total2","PSU_YEAR"
"56","1999_202U_3",0,0,"HOL BERM",109637,"202U",1999,8,7,3,24.44438,-81.92647,6.4,8,4801019,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.44438_-81.92647","Lost Reef/High Rocks",24.4433333333333,-81.9325,3408,"SPGR",65,0,"1999_202U"
"57","1999_202U_4",0,0,"HOL BERM",110084,"202U",1999,8,7,4,24.44448,-81.92782,7.6,8,4797269,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.44448_-81.92782","Lost Reef/High Rocks",24.4433333333333,-81.9325,3408,"SPGR",66,0,"1999_202U"
"58","1999_203U_1",0,0,"HOL BERM",111461,"203U",1999,8,7,1,24.45132,-81.8802,8.2,8,4887273,"SPGR_LR",4,8,23,152,0,0,1,1,"HRRF","FLA KEYS","24.45132_-81.8802","Sand Key",24.4508333333333,-81.8778333333333,3408,"SPGR",67,0,"1999_203U"
"59","1999_203U_2",0,0,"HOL BERM",111626,"203U",1999,8,7,2,24.45128,-81.8801,8.2,8,4887273,"SPGR_LR",4,8,23,152,0,0,1,1,"HRRF","FLA KEYS","24.45128_-81.8801","Sand Key",24.4508333333333,-81.8778333333333,3408,"SPGR",68,0,"1999_203U"
"60","1999_203U_3",0,0,"HOL BERM",111627,"203U",1999,8,7,3,24.45123,-81.87945,7.9,8,4891023,"SPGR_LR",4,8,23,152,0,0,1,1,"HRRF","FLA KEYS","24.45123_-81.87945","Sand Key",24.4508333333333,-81.8778333333333,3408,"SPGR",69,0,"1999_203U"
"61","1999_203U_4",0,0,"HOL BERM",111990,"203U",1999,8,7,4,24.45133,-81.87893,8.5,8,4891023,"SPGR_LR",4,8,23,152,0,0,1,1,"FMLR","FLA KEYS","24.45133_-81.87893","Sand Key",24.4508333333333,-81.8778333333333,3408,"SPGR",70,0,"1999_203U"
"62","1999_204U_1",0,0,"HOL BERM",113415,"204U",1999,8,7,1,24.45142,-81.87828,8.8,8,4891023,"SPGR_LR",4,8,23,152,0,0,1,1,"FMLR","FLA KEYS","24.45142_-81.87828","Sand Key",24.4508333333333,-81.8778333333333,3408,"SPGR",71,0,"1999_204U"
"63","1999_204U_2",0,0,"HOL BERM",113375,"204U",1999,8,7,2,24.45145,-81.87852,7.9,8,4891023,"SPGR_LR",4,8,23,152,0,0,1,1,"FMLR","FLA KEYS","24.45145_-81.87852","Sand Key",24.4508333333333,-81.8778333333333,3408,"SPGR",72,0,"1999_204U"
"64","1999_204U_3",0,0,"HOL BERM",113501,"204U",1999,8,8,3,24.45158,-81.87843,8.5,8,4891023,"SPGR_LR",4,8,23,152,0,0,1,1,"HRRF","FLA KEYS","24.45158_-81.87843","Sand Key",24.4508333333333,-81.8778333333333,3408,"SPGR",73,0,"1999_204U"
"65","1999_204U_4",0,0,"HOL BERM",113391,"204U",1999,8,8,4,24.45147,-81.87873,8.5,8,4891023,"SPGR_LR",4,8,23,152,0,0,1,1,"FMLR","FLA KEYS","24.45147_-81.87873","Sand Key",24.4508333333333,-81.8778333333333,3408,"SPGR",74,0,"1999_204U"
